date,category,title,link
"<pubDate>Sun, 15 Mar 2020 10:29:01 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>[영상+] “이란은 대통령이 안 보여…한국 부럽다”</title>,<link>http://www.hani.co.kr/arti/international/international_general/932562.html</link>
"<pubDate>Sun, 15 Mar 2020 10:55:20 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>금태섭 탈락·비례연합정당 참여…열성 지지층, 정당을 장악하다</title>",<link>http://www.hani.co.kr/arti/politics/polibar/932576.html</link>
"<pubDate>Sun, 15 Mar 2020 11:04:11 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>홍준표 “대구 수성을 무소속 출마…25일 통합당 탈당”</title>,<link>http://www.hani.co.kr/arti/politics/assembly/932581.html</link>
"<pubDate>Sun, 15 Mar 2020 10:59:37 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>[속보] 코로나19 신규 확진자 76명...23일 만에 100명 아래로</title>,<link>http://www.hani.co.kr/arti/society/society_general/932575.html</link>
"<pubDate>Sun, 15 Mar 2020 10:16:51 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>마스크 나눠드렸어요, 못 구하신 어르신께 경비 아저씨께</title>",<link>http://www.hani.co.kr/arti/society/society_general/932554.html</link>
"<pubDate>Sun, 15 Mar 2020 09:27:06 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>[속보] 미, 영국·아일랜드에도 “입국 금지”…트럼프 ‘음성’</title>",<link>http://www.hani.co.kr/arti/international/international_general/932566.html</link>
"<pubDate>Sun, 15 Mar 2020 11:08:17 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,"<title>‘공천 탈락’ 민병두, 동대문을 무소속 출마…“주민 여론에 결심”</title>",<link>http://www.hani.co.kr/arti/politics/assembly/932579.html</link>
"<pubDate>Sun, 15 Mar 2020 09:31:07 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>대구서 병실 없어 자가대기 하던 확진자 또 숨져…사망자 75명</title>,<link>http://www.hani.co.kr/arti/area/yeongnam/932568.html</link>
"<pubDate>Sun, 15 Mar 2020 10:01:18 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>세종 해수부 방문한 인천시민 코로나19 확진…KTX도 이용</title>,<link>http://www.hani.co.kr/arti/area/capital/932573.html</link>
"<pubDate>Sun, 15 Mar 2020 09:16:32 +0900</pubDate>",<dc:category>인터넷한겨레 주요뉴스</dc:category>,<title>“나는 바이러스가 위험한 이들을 더 발굴해주기를 바란다”</title>,<link>http://www.hani.co.kr/arti/society/society_general/932552.html</link>
